3963a99,JesusDBurgos,Update clientes.py,Fri Jul 28 13:37:15 2023 -0500
17601e9,JesusDBurgos,Update clientes.py,Thu Jul 27 11:25:48 2023 -0500
4a98087,JesusDBurgos,Cambio cliente añadir estados,Thu Jul 27 11:07:41 2023 -0500
d97a74a,JesusDBurgos,Update producto.py,Thu Jul 27 10:03:44 2023 -0500
0410b4d,JesusDBurgos,Update producto.py,Thu Jul 27 09:57:12 2023 -0500
1e85256,JesusDBurgos,Cambios producto,Thu Jul 27 09:41:17 2023 -0500
9e63361,JesusDBurgos,Update producto.py,Thu Jul 27 09:18:17 2023 -0500
48f4cbf,JesusDBurgos,Update producto.py,Thu Jul 27 08:29:55 2023 -0500
f48347e,JesusDBurgos,Cambios esquema,Thu Jul 27 08:21:04 2023 -0500
480239e,JesusDBurgos,Cambios tabla clientes y consulta de productos,Thu Jul 27 08:08:40 2023 -0500
5ddc5f6,JesusDBurgos,Cambios model/schema producto,Wed Jul 26 19:32:59 2023 -0500
f48b5fd,JesusDBurgos,Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft,Wed Jul 26 16:27:48 2023 -0500
1fd655e,JesusDBurgos,Update auth.py,Wed Jul 26 16:27:25 2023 -0500
aba528d,JesusDBurgos,Update requirements.txt,Wed Jul 26 16:24:13 2023 -0500
871f7e6,JesusDBurgos,Update requirements.txt,Wed Jul 26 16:08:46 2023 -0500
15d79bd,JesusDBurgos,Update requirements.txt,Wed Jul 26 16:02:39 2023 -0500
7ce4326,JesusDBurgos,Update auth.py,Wed Jul 26 15:55:41 2023 -0500
333d30a,JesusDBurgos,Cambio archivo config db,Wed Jul 26 15:50:26 2023 -0500
4c895ab,JesusDBurgos,Añadir logica de autenticación,Wed Jul 26 15:41:20 2023 -0500
0e82a5b,JesusDBurgos,Modificacion Pedido post,Tue Jul 25 11:27:50 2023 -0500
e2a8498,JesusDBurgos,cambios db,Tue Jul 25 08:29:03 2023 -0500
e06ad64,JesusDBurgos,Add middleware - Add marca register,Tue Jul 25 08:10:22 2023 -0500
48b24b1,JesusDBurgos,Update requirements.txt,Mon Jul 24 19:51:52 2023 -0500
4badd6e,JesusDBurgos,Update requirements.txt,Mon Jul 24 19:36:17 2023 -0500
54facde,JesusDBurgos,Update clientes.py,Sun Jul 23 22:26:55 2023 -0500
df97a0f,JesusDBurgos,Update requirements.txt,Sun Jul 23 18:38:57 2023 -0500
95e716f,JesusDBurgos,Update requirements.txt,Sun Jul 23 18:33:11 2023 -0500
81b2693,JesusDBurgos,Update requirements.txt,Sun Jul 23 18:25:23 2023 -0500
6830552,JesusDBurgos,Update requirements.txt,Sun Jul 23 18:22:43 2023 -0500
9fcbeec,JesusDBurgos,Update requirements.txt,Sun Jul 23 18:09:22 2023 -0500
1dea3d5,JesusDBurgos,Initial commit,Sun Jul 23 17:33:22 2023 -0500
